Link Type,Location Type,Title,Link,URL,PDF Size (bytes),Page Count,Text-based,Tagged,Notes,Equalify Scan Results
Box,Page (ACF Field),CCSPD Town Hall: East Campus Quad Renovations (Field: intro_text_body),https://uofi.app.box.com/s/rxo066e3a6hywa276l53cmhhpwyungme,https://ccspd.uic.edu/town-hall-information/,25967242.0,72.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),31st Annual Illinois Medieval Association Conference (Field: description),https://uofi.box.com/s/fds38ig2wtwna7vbx5xplgidof4fv887,https://lcsl.uic.edu/events/31st-annual-illinois-medieval-association-conference/,24298253.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Critical Considerations for Regulators on Data Centers (Field: intro_text_body),https://sustainability.atmeta.com/wp-content/uploads/2024/08/Meta-2024-Sustainability-Report.pdf,https://gfrc.uic.edu/the-government-finance-research-blog/critical-considerations-for-regulators-on-data-centers/,23961387.0,94.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Tools &amp; Resources (Field: intro_text_body),https://app.box.com/s/dus0z6lqufgd0mqkvifiicufhu5wr3kg,https://latinocultural.uic.edu/programs/program-series/reimagining-masculinities-initiative/tools-resources/,22558381.0,78.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Keeping Families Together (Field: description),https://app.box.com/s/6mrgzqt5r359hh6yq9y9xe0ew27fqlty,https://latinocultural.uic.edu/events/zona-abierta-keeping-families-together/,20251799.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),EMS: Expanding the Capacity of Mathematics Educators (Field: intro_text_body),https://emsforil.s3.amazonaws.com/documents/EMS_IL_Landscape_Study_web.pdf,https://lsri.uic.edu/ems-expanding-the-capacity-of-mathematics-educators/,20048516.0,78.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Revenue Forecasting in Unforecastable Times (Field: intro_text_body),https://www.volckeralliance.org/sites/default/files/attachments/Truth-and-Integrity-in-State-Budgeting-The-Balancing-Act.pdf,https://gfrc.uic.edu/the-government-finance-research-blog/revenue-forecasting-in-unforecastable-times/,17164228.0,163.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),Annual Reports (Field: intro_text_body),https://app.box.com/s/owcaeq2srwd23ua6bt2e6lyeahqbbi7n,https://latinocultural.uic.edu/annual-reports/,16988028.0,4.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Honors College Transfer Virtual Meeting (Field: description),https://uofi.app.box.com/s/z5a8yohf24v3chzmgu42lus37brb6t3r,https://honors.uic.edu/events/honors-college-transfer-virtual-meeting-2/,16888645.0,2.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Annual Reports (Field: intro_text_body),https://uofi.box.com/s/bnor91bmbjunrwq0ktnsrttihi7hx59q,https://latinocultural.uic.edu/annual-reports/,16590060.0,4.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),SHARE WITH STUDENTS: Spring 2020 Public Policy Gen Ed Courses (Field: intro_text_body),https://uofi.box.com/s/z18j0g51xfu9s2g7hpov0wh3eptl9n03,https://advising-old.red.uic.edu/news-stories/share-with-students-spring-2020-public-policy-gen-ed-courses/,15451928.0,5.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),LCC Affiliated Student Organizations&#8217; Open House – Spring 2019 (Field: description),https://app.box.com/s/khnqfeb7s3ib0vcniifcbqkcmuh1g2m5,https://latinocultural.uic.edu/events/lcc-affiliated-student-organizations-open-house-spring-2019/,14215900.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Governor Pritzker’s Budget Proposal: New Money and Old Tradeoffs (Field: intro_text_body),https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/budget-book/fy2025-budget/Fiscal-Year-2025-Operating-Budget.pdf,https://gfrc.uic.edu/the-government-finance-research-blog/governor-pritzkers-budget-proposal-new-money-and-old-tradeoffs/,13467933.0,632.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),Black Women&#8217;s Speculative Fiction and the Deconstruction of Able-Mindedness (Field: description),https://uofi.box.com/s/1igdcmi9hjy7lw3l61xb9z0hjxl3fx4v,https://dcc.uic.edu/events/black-womens-speculative-fiction-and-the-deconstruction-of-able-mindedness/,13304893.0,1.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),Voorhees Releases Annual Report (Field: intro_text_body),https://uofi.app.box.com/s/xyv7zd2pvyo65aukjn0srvp7t9t9jch6,https://cuppa.uic.edu/news-stories/voorhees-releases-annual-report/,13007719.0,20.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Event (ACF Field),Community Pharmacy Residency Seminar Series Part 1 (Field: description),http://ce.pharmacy.uic.edu/wp-content/uploads/sites/358/2018/10/Finalwebsite__11.8.18-Community-Resident-Seminar-Announcement.pdf,https://ce.pharmacy.uic.edu/events/community-pharmacy-residency-seminar-series-part-1/,12709657.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),How to Manage State Finances: California (Field: intro_text_body),https://www.brookings.edu/wp-content/uploads/2018/07/20180718_Brookings-Metro_City-fiscal-policy-Pagano-Hoene-final.pdf,https://gfrc.uic.edu/how-to-manage-state-finances-california/,12258559.0,44.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),Archives (Field: intro_text_body),https://uofi.box.com/v/2024SenateMtgMinutes,https://senate.uic.edu/documents-library/archives/,11982991.0,62.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Help Article (ACF Field),Print (Chicago campus) (Field: intro_text_body),https://library.uic.edu/wp-content/uploads/sites/196/2023/11/map-daley.pdf,https://library.uic.edu/help-articles/print-chicago-campus/,11758681.0,7.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,News (ACF Field),Bangladesh on the Brink: The Economic Crisis and Its Impact on Human Rights (Field: intro_text_body),http://plancomm.gov.bd/sites/default/files/files/plancomm.portal.gov.bd/files/68e32f08_13b8_4192_ab9b_abd5a0a62a33/2021-02-03-17-04-ec95e78e452a813808a483b3b22e14a1.pdf,https://lawreview.law.uic.edu/news-stories/bangladesh-on-the-brink-the-economic-crisis-and-its-impact-on-human-rights/,11419962.0,849.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),For Advisors (Field: intro_text_body),http://fsl.uic.edu/wp-content/uploads/sites/130/2024/09/UIC-FSL-Advisor-Manual.pdf.pdf,https://fsl.uic.edu/community-support/advisors/,11416307.0,10.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),Our Research (Field: intro_text_body),https://healthywork.uic.edu/wp-content/uploads/sites/452/2024/10/Annual-Report-2024_final_reduced-size.pdf,https://healthywork.uic.edu/resources/uic-chw-developed-resources/,11381634.0,31.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),How to Let Go of the World and Love all the Things Climate Can’t Change (Field: description),https://app.box.com/s/va6xlj6wb7vubcmc2pwyl44as0lxbqj0,https://latinocultural.uic.edu/events/civic-cinema-how-to-let-go-of-the-world-and-love-all-the-things-climate-cant-change/,11338152.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),"SHARE WITH STUDENTS: Fall 2020 Gen Eds in literature, linguistics, and cultures! (Field: intro_text_body)",https://uofi.box.com/s/j6zch69kki81a1btywwpuaftbf327ntd,https://advising-old.red.uic.edu/news-stories/share-with-students-fall-2020-gen-eds-in-literature-linguistics-and-cultures/,11234436.0,26.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Event (ACF Field),From Graffiti to the Polls (Field: description),https://app.box.com/s/uwinwnhi8m6f1lh190hq2lnbxuteugp0,https://latinocultural.uic.edu/events/artivism-from-graffiti-to-the-polls/,10876062.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Self-Study (Field: intro_text_body),https://uofi.box.com/s/igf3jtm6jj68jx6cd7j20xrwzqq7ivk3,https://sa.uic.edu/about/student-affairs-assessment-2/program-review-2/self-study/,10794839.0,78.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Stand with Youth Climate Strikers &amp; Make Art for Climate Action (Field: description),https://app.box.com/s/chwhbgbxthuteyha2kxckhjfvl0c5zab,https://latinocultural.uic.edu/events/stand-with-youth-climate-strikers-make-art-for-climate-action/,10618076.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,News (ACF Field),"Campus Conversation Oct. 12, 2017 (Field: intro_text_body)",http://provost.uic.edu/wp-content/uploads/sites/34/2017/10/Lopez-REVISED-U-of-IL-Latinx-Census-10-12-17-11amCST.pdf,https://provost.uic.edu/news-stories/campus-conversation-oct-12-2017/,10471328.0,40.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),Local economies (Field: intro_text_body),https://uofi.box.com/s/v5ijnx5r9205j32vefbdm1cv52qetck2,https://cued.uic.edu/research-2/research-page-6/,10322970.0,8.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Event (ACF Field),Pharmacy Quality Alliance &#8211; Executive Fellowship (Field: description),https://pqa.memberclicks.net/assets/Education/PQA_Student_and_Fellowship_Programs.pdf,https://students.pharmacy.uic.edu/events/pharmacy-quality-alliance-executive-fellowship/,10177076.0,20.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Profile (ACF Field),"Hemley, Russell (Field: presentations)",https://chem-old.red.uic.edu/wp-content/uploads/sites/146/2023/06/Hemley-Ashcroft-Talk-SCCM-2023.pdf,https://chem-old.red.uic.edu/profiles/hemley-russell/,10171531.0,23.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Profile (ACF Field),"Hemley, Russell (Field: presentations)",https://chem.uic.edu/wp-content/uploads/sites/146/2023/06/Hemley-Ashcroft-Talk-SCCM-2023.pdf,https://phys.uic.edu/profiles/hemley-russell/,10171531.0,23.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,News (ACF Field),Annual Report 2020-2021 (Field: intro_text_body),https://healthywork.uic.edu/wp-content/uploads/sites/452/2021/12/Annual-Report-2020-2021-5.pdf,https://healthywork.uic.edu/news-stories/annual-report-2020-2021/,10116642.0,23.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),SHARE WITH STUDENTS: UIC Cookbook and UIC Grocery Guide developed for UIC students by the Coordinated Program in Dietetics Class of 2020! (Field: intro_text_body),https://uofi.box.com/s/1odhakygwp48mduuqbs88ktnq2t2jo4l,https://advising-old.red.uic.edu/news-stories/share-with-students-uic-cookbook-and-uic-grocery-guide-developed-for-uic-students-by-the-coordinated-program-in-dietetics-class-of-2020/,10054033.0,13.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),"John Lynch, Associate Professor of Managerial Studies and Associate Dean Featured at Small Business Event (Field: intro_text_body)",https://uofi.box.com/s/nbuunl7egbotkgzlyjm4qhgpk35ds43y,https://business.uic.edu/news-stories/john-lynch-small-business-study/,10013831.0,27.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),New Report from the Voorhees Center Explores Chicago&#8217;s Food Ecosystem (Field: intro_text_body),https://uofi.app.box.com/s/9j78bs2ef5uw3u324ydfj3iwqn0tkz39,https://cuppa.uic.edu/news-stories/new-report-from-the-voorhees-center-explores-chicagos-food-ecosystem/,9747522.0,61.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: TRIO Ice Cream Welcome on September 27th! (Field: intro_text_body),https://uofi.box.com/s/0tdh4t5rdb2wnuoa1lwe5tv7r1xn1kq4,https://advising-old.red.uic.edu/news-stories/share-with-students-trio-ice-cream-welcome-on-september-27th/,9728878.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Safety Meeting Material (Field: intro_text_body),https://uofi.box.com/s/4g8fobpsdt60iydn0u8gp5f8qpvzfzkb,https://ehso.uic.edu/occupational-safety/ovcas-safety/safety-meeting-material/,9672795.0,2.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,News (ACF Field),Elise Archias and Blake Stimson speak on &#8220;Socially Engaged Art and the Professional Managerial Class&#8221; at CUNY Grad Center (Field: intro_text_body),http://arthistory.uic.edu/wp-content/uploads/sites/422/2024/02/Art-and-Social-Death-A-Blade-of-Grass.pdf,https://arthistory.uic.edu/news-stories/elise-archias-and-blake-stimson-on-socially-engaged-art-and-the-professional-managerial-class-at-cuny-grad-center/,9633307.0,48.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Candidate Resources (Field: intro_text_body),http://vcha.uic.edu/wp-content/uploads/sites/169/2018/10/BINDER-Candidate-Materials-v.1FD.pdf,https://vcha.uic.edu/candidate-resources/,9426484.0,130.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,News (ACF Field),SHARE WITH STUDENTS: Public Policy Courses and Info for Fall 2020 &#8211; Change the World Through Policy! (Field: intro_text_body),https://uofi.box.com/s/39y0m2uqdfc0ofgdwcx7rqxh4cq0838c,https://advising-old.red.uic.edu/news-stories/share-with-students-public-policy-courses-and-info-for-fall-2020-change-the-world-through-policy/,9234975.0,10.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),States Look to Mobile Sports Betting for More Promising Revenue Collections (Field: intro_text_body),https://www.americangaming.org/wp-content/uploads/2020/06/AGA-2020-State_of_the_States.pdf,https://gfrc.uic.edu/states-look-to-mobile-sports-betting-for-more-promising-revenue-collections/,8975234.0,121.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),Mobile Phones Request (Field: intro_text_body),https://uofi.box.com/shared/static/co071fer842o0kneh79mlxyn9a7rb6nq.pdf,https://accc.red.uic.edu/mobile-phones-request/,8886629.0,24.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Page (ACF Field),Self-Study (Field: intro_text_body),https://uofi.box.com/s/e21pw3wpivq7wqjejuczgd56pbgwxjda,https://sa.uic.edu/about/student-affairs-assessment-2/program-review-2/self-study/,8727406.0,99.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),SHARE WITH STUDENTS: Health Professions Forum Series (Field: intro_text_body),https://uofi.box.com/s/3uif2j33ihtwfj1w8ptcy53fkoc6prxf,https://advising-old.red.uic.edu/news-stories/share-with-students-health-professions-forum-series/,8330499.0,5.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Annual Reports &amp; Documents (Field: intro_text_body),http://latinocultural.uic.edu/wp-content/uploads/sites/231/2024/09/LCC_AnnualReport19-2022.pdf,https://latinocultural.uic.edu/archives/annual-reports-documents/,8231250.0,4.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),"SHARE WITH STUDENTS: ED 217 Fall 2022 Gen Ed &#8220;STEM, Education, and Society&#8221;- seats open! (Field: intro_text_body)",https://uofi.box.com/s/4oajq1edtdlla1y2envu0nf6knez1yan,https://advising-old.red.uic.edu/news-stories/share-with-students-ed-217-fall-2022-gen-ed-stem-education-and-society-seats-open-2/,7896800.0,1.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Event (ACF Field),LCC Affiliated Student Organizations’ Open House – Fall 2016 (Field: description),https://app.box.com/s/uclt8k0pqncvpipczi2zr87l0ruz6kyn,https://latinocultural.uic.edu/events/lcc-affiliated-student-organizations-open-house-fall-2016/,7776075.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Datos e información sobre LATINOS (Field: intro_text_body),https://www.ibhe.org/pdf/2015HispanicEmployment.pdf,https://lares-es.red.uic.edu/about/latinx-data-information/,7770597.0,51.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,News (ACF Field),CLASP report on re entry programs for youth employment (Field: intro_text_body),https://www.clasp.org/sites/default/files/publications/2020/02/2020fromsurvivingtothriving.pdf,https://healthywork.uic.edu/news-stories/clasp-report-on-re-entry-programs-for-youth-employment/,7738303.0,28.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,Event (ACF Field),Women’s Rights in Challenging Times (Field: description),https://app.box.com/s/aowvw5hjtlqsstm5dsco44uf96szuf1b,https://latinocultural.uic.edu/events/womens-rights-in-challenging-times/,7633699.0,1.0,FALSE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),IGNITE Spring 2018 Mural Tours (Field: description),https://app.box.com/s/op9qkfulv58ktcmstbqb9mflc1jn73hm,https://latinocultural.uic.edu/events/ignite-spring-2018-mural-tours/,7561915.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Event (ACF Field),Summer 2018 LCC Mural &amp; Heritage Garden Tours (Field: description),https://app.box.com/s/8xucr1905kgxf8eso510azrkssp7otmu,https://latinocultural.uic.edu/events/summer-2018-lcc-mural-heritage-garden-tours-2/,7471260.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Annual Reports &amp; Documents (Field: intro_text_body),http://latinocultural.uic.edu/wp-content/uploads/sites/231/2024/09/LCC_AnnualReport2019.pdf,https://latinocultural.uic.edu/archives/annual-reports-documents/,7437748.0,4.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Safety Meeting Material (Field: intro_text_body),https://uofi.box.com/s/dlwi3k3gfn642rtauet686pp1ft0744v,https://ehso.uic.edu/occupational-safety/ovcas-safety/safety-meeting-material/,7381376.0,1.0,FALSE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Commuter Student Engagement (Field: intro_text_body),http://sa.uic.edu/wp-content/uploads/sites/10/2020/07/Commuter-Student-Sense-of-Belonging-Report-FINAL-March-2020.pdf,https://sa.uic.edu/about/student-affairs-assessment-2/reports-2/student-engagement-2/commuter-student-engagement/,7279948.0,8.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,News (ACF Field),PROFESSIONAL DEVELOPMENT: Pre-Law Advising Midyear Update 2022-23 (Field: intro_text_body),https://uofi.box.com/s/knelvw47zj7krqo9xhxcenq8ux5355ch,https://advising-old.red.uic.edu/news-stories/professional-development-pre-law-advising-midyear-update-2022-23/,7266055.0,11.0,TRUE,TRUE,StructTreeRoot tag found,
Box,News (ACF Field),DPA Dispatch: Summer Issue (Field: intro_text_body),https://uofi.box.com/s/2duuxqds8kglg5wop4g6076dqbs9hj6k,https://cuppa.uic.edu/news-stories/dpa-dispatch-summer-issue/,7160219.0,8.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Labor standards (Field: intro_text_body),https://uofi.box.com/s/lca28ta16i8ykqgaghawamoarjv8qqsw,https://cued.uic.edu/research-2/research-page-5-2-2/,7107511.0,36.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),December 2021 (Field: intro_text_body),https://commencement.uic.edu/wp-content/uploads/sites/264/2021/12/Fall-Commencement-2021_Web.pdf,https://commencement.uic.edu/virtual-archives/december-2021/,7058425.0,38.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),College Student Experiences Questionnaire Report (Field: intro_text_body),http://sa.uic.edu/wp-content/uploads/sites/10/2017/11/Norms-Report-on-the-2012-Administration-of-the-CSEQ.pdf,https://sa.uic.edu/about/student-affairs-assessment-2/reports-2/student-engagement-2/college-student-experiences-questionnaire-report/,7044794.0,90.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),PROFESSIONAL DEVELOPMENT: 7th Annual Advisor Week Schedule At a Glance &#8211; Mark your calendars for 3/25 &#8211; 3/29! (Field: intro_text_body),https://uofi.box.com/s/uielqin9jb319v195vpk5fp4nejwbb0x,https://advising-old.red.uic.edu/news-stories/professional-development-7th-annual-advisor-week-schedule-at-a-glance-mark-your-calendars-for-3-25-3-29/,6951802.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Event (ACF Field),Indigenous Feminist Meaning-Making from Palestine to Turtle Island (Field: description),https://huminst.uic.edu/wp-content/uploads/sites/412/2023/04/230417_Indigenous_Folded_Program_DIGITAL.pdf.pdf,https://huminst.uic.edu/events/indigenous-feminist-meaning-making-from-palestine-to-turtle-island/,6847285.0,2.0,TRUE,TRUE,Skipped: Only Equalify scan required,
PDF,Page (ACF Field),Hopscotching ahead to the world to come (Field: intro_text_body),https://www.napawash.org/uploads/Academy_Studies/NAPA_Launch_--_McKinsey_presentation.pdf,https://gfrc.uic.edu/hopscotching-ahead-to-the-world-to-come/,6791514.0,10.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),HireTouch Job Aids (Field: intro_text_body),http://oae.uic.edu/wp-content/uploads/sites/32/2017/07/APApplicationJobAide.pdf,https://oae.uic.edu/ah/academic-hiring-process/hiretouch-job-aids/,6640089.0,34.0,TRUE,TRUE,Skipped: Only Equalify scan required,
Box,News (ACF Field),SHARE WITH STUDENTS: UIC STEM WEEK is this week 11/14 &#8211; 11/18! (Field: intro_text_body),https://uofi.box.com/s/191zcskjzhob5qwbzqzk08th1y1vesk2,https://advising-old.red.uic.edu/news-stories/share-with-students-uic-stem-week-is-this-week-11-14-11-18/,6627101.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Menu,FY2020 Annual Report,https://pharmacy-dashboards.uic.edu/wp-content/uploads/sites/133/2020/10/UIC-College-of-Pharmacy-FY2020-Annual-Report.pdf,,6507576.0,9.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Graduate Course Syllabi (Field: intro_text_body),https://uofi.box.com/s/671r8xy8ihuad6ct99anbiot5oiowrm1,https://bios.uic.edu/graduate-course-syllabi/,6476518.0,8.0,TRUE,TRUE,StructTreeRoot tag found,
PDF,Page (ACF Field),Contact Us/Find Us (Field: intro_text_body),https://huminst.uic.edu/wp-content/uploads/sites/412/2024/09/parking-lot-1.pdf,https://huminst.uic.edu/about/contact-us/,6360829.0,1.0,TRUE,FALSE,No StructTreeRoot tag,
PDF,Page (ACF Field),Annual Reports (Field: intro_text_body),http://latinocultural.uic.edu/wp-content/uploads/sites/231/2025/02/LCC_AnnualReport2024_Final.pdf,https://latinocultural.uic.edu/annual-reports/,6276568.0,4.0,TRUE,FALSE,No StructTreeRoot tag,
Box,Page (ACF Field),Tools &amp; Resources (Field: intro_text_body),https://app.box.com/s/zc8odthabtnugnasa12ghfo3d1jvnk3j,https://latinocultural.uic.edu/programs/program-series/reimagining-masculinities-initiative/tools-resources/,6232220.0,622.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Page (ACF Field),STRATEGY 6.0 Education and Research (Field: intro_text_body),https://uofi.box.com/v/2018CAIPforUIC,https://sustainability.uic.edu/plans/caip/strategy-6/,6201883.0,37.0,TRUE,FALSE,No StructTreeRoot tag,
Box,News (ACF Field),The Government Finance Research Center&#8217;s Newsletter Released (Field: intro_text_body),https://uofi.app.box.com/s/06gwttwkxy3fs0dml2gfe0r5u4ybb5do,https://cuppa.uic.edu/news-stories/the-government-finance-research-centers-newsletter-released/,6169502.0,13.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Research Project (ACF Field),"Research Primer: Water Rate Setting in Illinois, by Deborah A. Carroll, Amanda Kass, Jason Michnick, and Brooke Wetmore (Field: abstract)",https://uofi.app.box.com/file/949849844898?s=06gwttwkxy3fs0dml2gfe0r5u4ybb5do,https://gfrc.uic.edu/research/research-primer-water-rate-setting/,6169502.0,13.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Page (ACF Field),Graduate Course Syllabi (Field: intro_text_body),https://uofi.box.com/s/s0xh2y3vd8l32m4nsmo6f5mnfkk95k1e,https://bios.uic.edu/graduate-course-syllabi/,6161643.0,7.0,TRUE,TRUE,StructTreeRoot tag found,
Box,Page (ACF Field),Local economies (Field: intro_text_body),https://uofi.box.com/s/yiihxw1u4kjc1geezxn9sclqho0pg0oc,https://cued.uic.edu/research-2/research-page-6/,6160409.0,11.0,FALSE,FALSE,No StructTreeRoot tag,
